order_id,customer_id,customer_name,customer_segment,order_status,item_id,item_name,item_price,total,ds
202819,4577,Jonathan Lewis,Budget,pending,ITM006,Webcam,450.99,450.99,2025-10-30
202819,4577,Jonathan Lewis,Budget,pending,ITM007,USB Cable,435.93,886.92,2025-10-30
202819,4577,Jonathan Lewis,Budget,pending,ITM009,Desk Lamp,125.4,1012.32,2025-10-30
375921,8249,Courtney Davis,Enterprise,pending,ITM004,Monitor,440.31,440.31,2025-10-30
375921,8249,Courtney Davis,Enterprise,pending,ITM010,Phone Case,178.33,618.64,2025-10-30
375921,8249,Courtney Davis,Enterprise,pending,ITM005,Headphones,380.0,998.64,2025-10-30
375921,8249,Courtney Davis,Enterprise,pending,ITM002,Mouse,27.56,1026.2,2025-10-30
430312,6651,Jacob Hendricks,Premium,new,ITM004,Monitor,439.27,439.27,2025-10-30
430312,6651,Jacob Hendricks,Premium,new,ITM001,Laptop,89.97,529.24,2025-10-30
430312,6651,Jacob Hendricks,Premium,new,ITM003,Keyboard,236.07,765.31,2025-10-30
430312,6651,Jacob Hendricks,Premium,new,ITM002,Mouse,385.49,1150.8,2025-10-30
430312,6651,Jacob Hendricks,Premium,new,ITM007,USB Cable,238.7,1389.5,2025-10-30
909416,9040,Jacqueline Patterson,Enterprise,shipped,ITM002,Mouse,89.66,89.66,2025-10-30
909416,9040,Jacqueline Patterson,Enterprise,shipped,ITM015,SSD,437.39,527.05,2025-10-30
424698,2158,Mariah Lewis,Enterprise,shipped,ITM015,SSD,141.31,141.31,2025-10-30
424698,2158,Mariah Lewis,Enterprise,shipped,ITM013,Router,464.13,605.44,2025-10-30
424698,2158,Mariah Lewis,Enterprise,shipped,ITM006,Webcam,483.41,1088.85,2025-10-30
424698,2158,Mariah Lewis,Enterprise,shipped,ITM003,Keyboard,196.34,1285.19,2025-10-30
993134,7680,Kelli Monroe,Premium,other,ITM006,Webcam,174.4,174.4,2025-10-30
993134,7680,Kelli Monroe,Premium,other,ITM010,Phone Case,456.99,631.39,2025-10-30
993134,7680,Kelli Monroe,Premium,other,ITM013,Router,498.41,1129.8,2025-10-30
993134,7680,Kelli Monroe,Premium,other,ITM008,Desk Chair,415.18,1544.98,2025-10-30
303113,2754,Stacy Cox,Enterprise,other,ITM013,Router,321.58,321.58,2025-10-30
543581,2505,Dillon Pierce,Enterprise,shipped,ITM015,SSD,178.83,178.83,2025-10-30
543581,2505,Dillon Pierce,Enterprise,shipped,ITM001,Laptop,130.16,308.99,2025-10-30
543581,2505,Dillon Pierce,Enterprise,shipped,ITM009,Desk Lamp,223.63,532.62,2025-10-30
543581,2505,Dillon Pierce,Enterprise,shipped,ITM010,Phone Case,355.06,887.68,2025-10-30
773662,2391,Valerie Becker,Standard,other,ITM007,USB Cable,248.83,248.83,2025-10-30
773662,2391,Valerie Becker,Standard,other,ITM009,Desk Lamp,269.98,518.81,2025-10-30
773662,2391,Valerie Becker,Standard,other,ITM011,Charger,261.84,780.65,2025-10-30
757673,3329,Charles Williams,Premium,shipped,ITM011,Charger,109.26,109.26,2025-10-30
757673,3329,Charles Williams,Premium,shipped,ITM008,Desk Chair,147.68,256.94,2025-10-30
757673,3329,Charles Williams,Premium,shipped,ITM003,Keyboard,382.88,639.82,2025-10-30
169192,3168,Brett Foster,Enterprise,other,ITM010,Phone Case,316.58,316.58,2025-10-30
169192,3168,Brett Foster,Enterprise,other,ITM003,Keyboard,170.15,486.73,2025-10-30
169192,3168,Brett Foster,Enterprise,other,ITM001,Laptop,379.97,866.7,2025-10-30
169192,3168,Brett Foster,Enterprise,other,ITM004,Monitor,12.61,879.31,2025-10-30
201699,2617,Joseph Rocha,Premium,cancelled,ITM006,Webcam,459.18,459.18,2025-10-30
287175,5005,Cheryl Miller,Premium,shipped,ITM001,Laptop,88.0,88.0,2025-10-30
287175,5005,Cheryl Miller,Premium,shipped,ITM003,Keyboard,327.28,415.28,2025-10-30
287175,5005,Cheryl Miller,Premium,shipped,ITM015,SSD,142.01,557.29,2025-10-30
287175,5005,Cheryl Miller,Premium,shipped,ITM005,Headphones,99.89,657.18,2025-10-30
287175,5005,Cheryl Miller,Premium,shipped,ITM008,Desk Chair,476.14,1133.32,2025-10-30
705711,1674,Tonya Wheeler,Budget,other,ITM006,Webcam,487.12,487.12,2025-10-30
705711,1674,Tonya Wheeler,Budget,other,ITM015,SSD,231.29,718.41,2025-10-30
705711,1674,Tonya Wheeler,Budget,other,ITM013,Router,335.81,1054.22,2025-10-30
