order_id,customer_id,customer_name,customer_segment,order_status,item_id,item_name,item_price,total,ds
397637,3171,Alexis Stevens,Premium,pending,ITM006,Webcam,299.46,299.46,2025-10-31
397637,3171,Alexis Stevens,Premium,pending,ITM007,USB Cable,163.02,462.48,2025-10-31
110693,3466,Nicholas Cross,Enterprise,cancelled,ITM015,SSD,154.85,154.85,2025-10-31
235845,5329,Sydney Robertson,Standard,new,ITM014,Hard Drive,375.34,375.34,2025-10-31
235845,5329,Sydney Robertson,Standard,new,ITM006,Webcam,29.29,404.63,2025-10-31
235845,5329,Sydney Robertson,Standard,new,ITM009,Desk Lamp,317.43,722.06,2025-10-31
235845,5329,Sydney Robertson,Standard,new,ITM015,SSD,364.74,1086.8,2025-10-31
288384,3168,Lonnie Lopez,Budget,other,ITM011,Charger,43.44,43.44,2025-10-31
288384,3168,Lonnie Lopez,Budget,other,ITM007,USB Cable,195.86,239.3,2025-10-31
834804,6576,Jason Anderson,Budget,new,ITM004,Monitor,118.93,118.93,2025-10-31
834804,6576,Jason Anderson,Budget,new,ITM009,Desk Lamp,441.19,560.12,2025-10-31
834804,6576,Jason Anderson,Budget,new,ITM003,Keyboard,385.81,945.93,2025-10-31
574669,2924,Mitchell Potter,Premium,cancelled,ITM014,Hard Drive,223.28,223.28,2025-10-31
859002,6026,Margaret Washington,Enterprise,shipped,ITM014,Hard Drive,489.1,489.1,2025-10-31
859002,6026,Margaret Washington,Enterprise,shipped,ITM009,Desk Lamp,25.73,514.83,2025-10-31
859002,6026,Margaret Washington,Enterprise,shipped,ITM007,USB Cable,413.56,928.39,2025-10-31
859002,6026,Margaret Washington,Enterprise,shipped,ITM001,Laptop,25.84,954.23,2025-10-31
833518,9204,Tammy Robinson,Premium,shipped,ITM009,Desk Lamp,55.4,55.4,2025-10-31
489521,9511,Helen Lynn,Budget,other,ITM008,Desk Chair,81.44,81.44,2025-10-31
489521,9511,Helen Lynn,Budget,other,ITM012,Speaker,297.68,379.12,2025-10-31
852916,4154,April Lee,Standard,cancelled,ITM013,Router,191.18,191.18,2025-10-31
852916,4154,April Lee,Standard,cancelled,ITM015,SSD,209.48,400.66,2025-10-31
587045,9389,Jessica Kennedy,Standard,cancelled,ITM010,Phone Case,406.73,406.73,2025-10-31
729314,6867,Nicolas Lee,Standard,cancelled,ITM002,Mouse,481.44,481.44,2025-10-31
729314,6867,Nicolas Lee,Standard,cancelled,ITM006,Webcam,313.09,794.53,2025-10-31
729314,6867,Nicolas Lee,Standard,cancelled,ITM008,Desk Chair,199.71,994.24,2025-10-31
653495,3448,Mark Bryant,Standard,other,ITM009,Desk Lamp,240.02,240.02,2025-10-31
653495,3448,Mark Bryant,Standard,other,ITM007,USB Cable,31.98,272.0,2025-10-31
295957,8002,Stephanie Holden,Enterprise,shipped,ITM007,USB Cable,114.39,114.39,2025-10-31
227655,8191,Nathan Gardner,Premium,cancelled,ITM003,Keyboard,193.86,193.86,2025-10-31
105173,3692,Ryan Bradley,Standard,new,ITM004,Monitor,387.13,387.13,2025-10-31
105173,3692,Ryan Bradley,Standard,new,ITM005,Headphones,218.67,605.8,2025-10-31
105173,3692,Ryan Bradley,Standard,new,ITM013,Router,223.53,829.33,2025-10-31
314406,1025,Robert Maldonado,Enterprise,other,ITM009,Desk Lamp,297.27,297.27,2025-10-31
314406,1025,Robert Maldonado,Enterprise,other,ITM005,Headphones,132.63,429.9,2025-10-31
314406,1025,Robert Maldonado,Enterprise,other,ITM007,USB Cable,131.47,561.37,2025-10-31
314406,1025,Robert Maldonado,Enterprise,other,ITM013,Router,248.61,809.98,2025-10-31
314406,1025,Robert Maldonado,Enterprise,other,ITM008,Desk Chair,146.89,956.87,2025-10-31
182111,9302,David Brown,Premium,pending,ITM002,Mouse,317.22,317.22,2025-10-31
844060,1147,Jeffrey Gonzales,Enterprise,cancelled,ITM003,Keyboard,492.48,492.48,2025-10-31
844060,1147,Jeffrey Gonzales,Enterprise,cancelled,ITM001,Laptop,116.36,608.84,2025-10-31
844060,1147,Jeffrey Gonzales,Enterprise,cancelled,ITM007,USB Cable,281.62,890.46,2025-10-31
346807,5805,Vincent Brown,Standard,other,ITM011,Charger,70.66,70.66,2025-10-31
346807,5805,Vincent Brown,Standard,other,ITM009,Desk Lamp,378.75,449.41,2025-10-31
346807,5805,Vincent Brown,Standard,other,ITM015,SSD,110.58,559.99,2025-10-31
346807,5805,Vincent Brown,Standard,other,ITM006,Webcam,26.75,586.74,2025-10-31
259948,3182,Terrance Baker,Enterprise,shipped,ITM002,Mouse,383.51,383.51,2025-10-31
259948,3182,Terrance Baker,Enterprise,shipped,ITM006,Webcam,173.67,557.18,2025-10-31
259948,3182,Terrance Baker,Enterprise,shipped,ITM015,SSD,353.09,910.27,2025-10-31
808828,5174,Angel Johnson,Standard,shipped,ITM013,Router,139.22,139.22,2025-10-31
484123,7037,Kyle Hart,Standard,cancelled,ITM002,Mouse,14.22,14.22,2025-10-31
484123,7037,Kyle Hart,Standard,cancelled,ITM010,Phone Case,158.21,172.43,2025-10-31
548801,6603,Jasmin Lewis,Premium,other,ITM015,SSD,463.7,463.7,2025-10-31
